id,l_id,Building,Address,Apt,AptSize,Bathrooms,MaxOccupants,Sqft,NumberConnect,5/27/11,6/27/11,8/2/11,8/30/11,9/29/11,10/27/11,11/28/11,1/26/12,3/6/12,4/3/12,4/16/12,5/1/12,5/8/12,5/22/12,6/5/12,6/19/12,7/3/12,7/17/12,7/31/12,8/14/12,8/28/12,9/11/12,9/25/12,10/11/12,10/25/12,11/15/12,12/6/12,2/21/13,3/14/13,4/4/13,4/18/13,5/2/13,5/16/13,5/30/13,6/13/13,7/1/13,7/15/13,7/29/13,8/12/13,8/26/13,9/16/13,9/27/13,10/11/13,10/25/13,11/8/13,11/22/13,12/6/13
3300202,,Sawtelle,3300,202,2,2,4,915,2,22414,"22,583","22,780",22917,23086,23233,23363,23633,23782,23897,23956,24009,24034,24083,24133,24190,24244,24295,24370,24520,24659,24803,24953,25083,25167,25262,25341,25553,25606,25727,25808,25871,25963,26034,26098,26190,26255,26313,26381,26452,26598,26647,26672,26742,26826,26897,20966
3300203,,Sawtelle,3300,203,2,2,4,910,2,18845,"19,038","19,205",19395,19565,19715,19805,20195,20399,20570,20656,20741,20780,20863,20945,21026,21102,21186,21278,21367,21462,21555,21663,21778,21831,21877,21927,22071,22132,22195,22247,22300,22352,22404,22452,22515,22556,22605,22652,22675,22740,22778,22838,22892,22943,22988,23029
3300204,,Sawtelle,3300,204,2,2,4,915,2,23262,"23,396","23,515",23628,23699,23831,24026,24322,24509,24645,24666,24684,24718,24804,24887,24970,25044,25122,25202,25286,25372,25476,25580,25686,25758,25885,26018,26496,26616,26741,26820,26899,26980,27063,27149,27261,27330,27406,27466,27551,27684,27746,27826,27913,28009,28084,28172
3300205,,Sawtelle,3300,205,2,2,4,915,2,21333,"21,568","21,824",22076,22472,22753,23060,23872,24345,24645,24774,24903,24970,25134,25318,25492,25680,25881,26088,26338,26595,26830,27084,27252,27411,27644,27929,29083,29363,29538,29714,29915,30143,30367,30608,30941,31211,31472,31592,31664,31725,31774,31838,31893,31943,31986,32030
3300206,,Sawtelle,3300,206,2,2,4,915,2,25866,"26,127","26,388",26752,27059,27330,27618,27995,28342,28574,28693,28812,28873,28979,29199,29216,29316,29436,29568,29769,29995,30193,30367,30528,30655,30808,30963,31563,31714,31860,31939,32055,32165,32264,32388,32546,32666,32793,32946,33111,33459,33556,33694,33806,33905,34010,34115
3300207,,Sawtelle,3300,207,2,2,4,915,2,35057,"35,463","35,814",36247,36653,36892,37206,37899,38245,38485,38597,38715,38781,38888,39103,39303,39508,39535,39572,39593,39670,39898,40118,40357,40541,40746,40905,41518,41698,41860,42003,42164,42347,42547,42737,42931,43091,43271,43414,43623,43919,44071,44286,44475,44626,44768,44927
3300208,,Sawtelle,3300,208,2,2,4,915,2,27539,"28,168","28,373",28609,28800,29004,29195,29518,29769,29937,30022,30106,30152,30235,30319,30407,30502,30609,30728,30871,31032,31182,31363,31483,31572,31680,31833,32346,32484,32640,32748,32849,32946,33066,33182,33331,33488,33507,33728,33885,34161,34306,34458,34602,34737,34879,34980
3300209,,Sawtelle,3300,209,2,2,4,915,2,21919,"22,163","22,403",22617,22809,23006,23253,23724,24037,24267,24369,24477,24518,24613,24701,24765,24883,25010,25151,25320,25481,25620,25746,25869,25968,26122,26212,26314,26430,26542,26615,26691,26762,26835,26900,26996,27065,27135,27191,27255,27315,27346,27392,27476,27557,27633,27708
3300210,40,Sawtelle,3300,210,2,2,4,910,2,29708,"30,045","30,540",30917,31255,31543,31794,32491,32762,33005,33121,33229,33285,33415,33527,33653,33757,33864,34036,34278,34511,34743,35051,35336,35572,35790,35936,36847,37145,37379,37422,37747,38048,38354,38632,39092,39490,39810,40074,40379,41002,41261,41608,41856,42042,42387,42479
3300211,,Sawtelle,3300,211,2,2,4,915,2,20728,"20,883","21,002",21095,21151,21324,21572,22095,22450,22724,22840,22954,23010,23115,23247,23364,23494,23621,23757,23913,24087,24261,24459,24608,24731,24927,25104,25455,25486,25549,25625,25708,25788,25878,25963,26074,26148,26212,26281,26347,26470,26531,26608,26676,26759,26828,26904
